huespedes,dormitorios,camas,baños,precio_eur,valoracion,alojamiento_entero,limpieza,llegada_autonoma,ubicacion_fantastica,cocina,wifi,lavadora,aire_acondicionado,secador,frigorifico
6,2,4,2,160,4.64,1,1,1,0,1,1,0,1,1,0
5,3,3,2,130,4.0,1,1,1,1,1,1,0,1,1,0
4,1,2,1,60,4.0,1,1,1,0,1,1,0,1,1,0
6,2,4,1,236,4.0,1,0,1,1,1,1,0,1,1,0
6,3,5,1,166,4.69,1,1,1,1,0,1,1,1,0,1
1,1,1,1,35,4.83,0,1,1,0,1,1,0,0,1,1
6,2,3,2,140,5.0,1,1,1,0,1,1,0,1,1,1
5,2,5,2,115,4.87,1,1,1,0,1,1,0,1,0,1
2,0,1,1,63,4.88,1,1,0,1,1,1,0,0,1,0
8,3,4,2,206,4.63,1,1,0,1,1,1,0,1,1,1
6,2,4,1,98,4.3,1,0,1,0,1,1,0,1,0,0
2,1,1,1,35,3.86,1,0,1,1,0,0,1,0,0,1
6,2,3,2,140,5.0,1,1,1,0,1,1,0,1,1,1
5,3,4,1,165,4.91,1,1,1,0,1,1,0,1,1,1
5,2,3,1,85,4.95,1,1,1,0,1,1,0,1,0,1
8,3,4,2,206,4.63,1,1,0,1,1,1,0,1,1,1
6,3,5,1,166,4.69,1,1,1,1,0,1,1,1,0,1
2,1,1,1,75,4.91,1,1,1,0,0,1,1,1,0,1
6,2,3,1,159,4.0,1,1,1,0,1,1,0,0,0,1
6,3,5,2,121,4.92,1,1,0,1,1,1,0,1,1,1
2,1,1,1,18,4.55,0,1,1,0,1,1,0,0,1,0
5,2,3,1,108,4.84,1,1,1,0,1,1,0,1,1,0
6,3,4,2,127,4.78,1,1,1,1,1,1,0,1,0,1
2,0,2,1,42,4.0,1,1,1,1,0,0,1,0,0,1
6,3,3,2,152,4.88,1,1,1,0,1,1,0,1,1,0
6,3,5,2,107,4.0,1,1,1,1,1,1,0,1,0,1
4,1,2,1,60,4.0,1,1,1,0,1,1,0,1,1,0
5,2,4,1,75,4.39,1,0,1,1,1,1,1,1,1,0
5,4,5,1,79,4.17,1,0,1,1,1,1,0,1,1,1
2,1,1,1,41,4.89,0,1,1,0,1,1,0,0,0,0
6,3,4,2,172,4.0,1,1,1,1,1,1,0,1,1,1
2,1,1,1,63,4.73,1,0,0,0,0,1,0,0,1,0
8,3,4,2,167,4.72,1,1,1,1,1,1,0,1,1,0
6,3,4,2,165,4.88,1,1,1,0,1,1,0,1,1,1
2,1,1,1,60,4.71,1,1,1,0,1,1,0,0,0,0
5,2,3,1,90,4.75,1,1,1,0,1,1,0,0,0,1
5,3,6,2,150,5.0,1,1,1,0,1,1,0,1,1,0
2,0,1,1,63,4.85,1,1,0,1,1,1,0,0,1,1
6,2,3,1,120,4.96,1,1,0,1,1,1,0,1,1,1
6,2,4,2,103,4.78,1,1,1,0,0,0,1,0,0,1
2,1,1,1,60,4.75,1,1,1,1,1,1,0,1,1,0
5,2,4,1,132,4.0,1,0,1,0,1,1,0,1,1,1
5,3,4,1,113,4.97,1,1,1,0,1,1,0,1,0,1
1,1,1,2,25,4.29,0,0,0,1,1,1,1,0,1,1
7,0,6,1,100,4.63,1,1,1,0,1,1,0,1,1,1
5,2,3,1,105,4.9,1,1,1,0,1,1,0,1,1,0
4,0,2,1,75,3.93,1,1,1,0,1,1,0,1,1,1
6,2,3,2,135,4.8,1,1,0,1,1,1,0,0,0,0
5,3,5,2,145,4.49,1,1,1,1,1,1,0,1,1,1
2,1,1,1,63,4.35,1,1,1,1,1,1,1,1,1,0
6,3,3,2,140,4.6,1,1,1,0,1,1,0,1,1,1
5,2,2,2,167,4.0,1,1,1,0,1,1,0,1,1,1
1,1,1,1,35,4.83,0,1,1,0,1,1,0,0,1,1
6,2,3,2,119,4.98,1,1,1,1,1,1,0,1,1,0
7,3,6,2,121,4.25,1,0,0,1,0,0,1,0,0,1
2,0,2,1,48,4.15,1,1,1,1,1,1,0,1,0,1
6,2,3,2,150,4.63,1,1,0,1,1,1,0,1,1,1
6,3,4,1,171,4.0,1,0,1,1,1,1,0,1,0,1
2,0,1,1,65,4.7,1,1,0,1,1,1,0,1,1,0
8,3,4,3,120,4.92,1,1,1,0,1,1,0,1,1,0
5,3,3,2,236,4.0,1,1,1,0,1,1,0,1,1,1
2,1,1,1,38,4.86,0,1,1,1,0,0,1,0,0,1
6,2,3,1,204,4.62,1,1,0,1,1,1,0,1,1,0
5,2,2,1,69,4.0,1,1,1,1,1,1,0,1,1,1
2,1,1,1,40,4.6,0,0,1,0,0,1,1,0,1,1
5,2,2,1,155,4.6,1,1,0,1,1,1,0,1,1,1
5,2,3,1,110,4.0,1,0,0,1,1,1,0,1,1,1
2,1,1,2,36,4.65,0,1,0,1,1,1,0,0,1,1
6,2,3,2,176,4.69,1,1,0,1,1,1,0,1,1,0
8,4,7,2,220,5.0,1,1,1,0,0,0,1,0,0,1
2,1,1,1,38,4.86,0,1,1,1,0,0,1,0,0,1
6,2,3,1,115,4.86,1,1,0,1,1,1,0,1,0,1
